id,created_at,description,name,price,status,type,updated_at,category_id,image_id
P0001,2024-06-22 21:52:50.297,"Not as sweet as Faint Silver or Milk Coffee, Ice Chocolate has a quieter, more poetic flavor. People often have to sit for a long time to fully feel the sweet aroma, the faint scent of cocoa and the smooth bitterness sliding down the palate.",Ice Chocolate,40000,ACTIVE,BEVERAGE,2024-06-22 21:52:50.297,C01,171906797032386
P0002,2024-06-22 21:55:49.146,"In particular, immediately conquer cheese lovers with the soft, salty cheese foam layer. It's even more delicious with pure grilled Oolong jelly, crunchy and chewy.",Oolong Grilled Cream Cheese,50000,ACTIVE,BEVERAGE,2024-06-22 21:55:49.146,C06,171906814916605
P0003,2024-06-22 21:57:07.133,"Faint Silver is ""Cup of white milk with a little coffee"". This drink is very suitable for those who want to experience the bitter taste of coffee while also enjoying the sweet and fatty taste of milk.",Faint Silver,40000,ACTIVE,BEVERAGE,2024-06-22 21:57:07.133,C01,171906822715371
P0004,2024-06-22 21:58:42.093,This is a healthy drink that helps you stay awake smoothly and relieve stress.,Roasted Oolong Latte,50000,ACTIVE,BEVERAGE,2024-06-22 21:58:42.093,C02,171906832212486
P0005,2024-06-22 22:02:06.339,Cold-brewed coffee with a splash of milk and real sugar; served over ice.,Crafted Coffee,25000,ACTIVE,BEVERAGE,2024-06-22 22:02:06.339,C01,171906852635947
P0006,2024-06-22 22:03:21.401,Fresh coffee shaken with pumpkin and ice; topped with a splash of milk.,Pumpkin Coffee Shaker,40000,ACTIVE,BEVERAGE,2024-06-22 22:03:21.401,C01,171906860142059
P0007,2024-06-22 22:04:58.400,Caribou Blend cold press coffee steamed to order.,Hot Black Coffee,40000,ACTIVE,BEVERAGE,2024-06-22 22:04:58.400,C01,171906869842826
P0008,2024-06-22 22:05:52.974,Cold-brewed coffee with a splash of oatmilk and real sugar; served over ice and topped with oatmilk cold foam.,Oatmilk Crafted Coffee,45000,ACTIVE,BEVERAGE,2024-06-22 22:05:52.974,C01,171906875299584
P0009,2024-06-22 22:07:02.941,Fresh coffee shaken with vanilla and ice; topped with a splash of milk.,Vanilla Coffee Shaker,45000,ACTIVE,BEVERAGE,2024-06-22 22:07:02.941,C01,171906882296267
P0010,2024-06-22 22:08:22.374,Fresh coffee shaken with caramel and ice; topped with a splash of milk.,Caramel Coffee Shaker,30000,ACTIVE,BEVERAGE,2024-06-22 22:08:22.374,C01,171906890239443
P0011,2024-06-22 22:09:27.795,"A delicate combination of the bitter taste of pure coffee mixed with the sweet taste of hot milk, topped with a layer of gentle cream, creating a perfect cup of coffee in terms of aroma and visual blend.",Milk Latte,35000,ACTIVE,BEVERAGE,2024-06-22 22:09:27.795,C02,171906896781525
P0012,2024-06-22 22:10:24.972,"Extremely attractive because of the slightly bitter coffee flavor mixed with the sweet, fragrant black sugar and smooth, creamy fresh milk. The refreshing combination of coffee and brown sugar also creates a beautiful layered appearance. This is a choice worth trying to start your new day with excitement.",Northern Lite Latte,30000,ACTIVE,BEVERAGE,2024-06-22 22:10:24.972,C02,171906902499181
P0013,2024-06-22 22:11:37.114,"Coffee and steamed milk, combined with real pumpkin; topped with ground nutmeg.",Pumpkin Latte,35000,ACTIVE,BEVERAGE,2024-06-22 22:11:37.114,C02,171906909713342
P0014,2024-06-22 22:12:31.805,Spiced black tea combined with steamed milk.,Classic Chai Latte,30000,ACTIVE,BEVERAGE,2024-06-22 22:12:31.805,C02,171906915183797
P0015,2024-06-22 22:13:53.118,"Matcha powder, milk, and vanilla; served over ice.",Matcha Vanilla Tea Latte,30000,ACTIVE,BEVERAGE,2024-06-22 22:13:53.118,C02,171906923313865
P0016,2024-06-22 22:14:59.425,Coffee blended with ice and real pumpkin. Topped with whipped cream and ground nutmeg.,Pumpkin Caribou Frosty,50000,ACTIVE,BEVERAGE,2024-06-22 22:14:59.425,C04,171906929944683
P0017,2024-06-22 22:16:01.989,Coffee blended with ice and vanilla flavor; topped with whipped cream and white chocolate drizzle.,Vanilla Caribou Frosty,60000,ACTIVE,BEVERAGE,2024-06-22 22:16:01.989,C04,171906936201189
P0018,2024-06-22 22:17:02.029,Coffee blended with ice and real chocolate; topped with whipped cream and chocolate drizzle.,Chocolate Caribou Frosty,65000,ACTIVE,BEVERAGE,2024-06-22 22:17:02.029,C04,171906942205028
P0019,2024-06-22 22:18:04.739,Coffee blended with ice.,Coffee Caribou Frosty,40000,ACTIVE,BEVERAGE,2024-06-22 22:18:04.739,C04,171906948475805
P0020,2024-06-22 22:18:48.075,Coffee blended with ice and real caramel; topped with whipped cream and caramel drizzle.,Caramel Caribou Frosty,50000,ACTIVE,BEVERAGE,2024-06-22 22:18:48.075,C04,171906952810423
P0021,2024-06-22 22:19:48.956,"Cookies blended with vanilla, chocolate, half & half and our signature shake mix. Topped with whipped cream and more cookies.",Frozen Cookies and Cream,45000,ACTIVE,BEVERAGE,2024-06-22 22:19:48.956,C04,171906958898363
P0022,2024-06-22 22:20:44.556,"Coffee blended with ice, chocolate and mint flavor. Topped with whipped cream and candy canes.",Ho Ho Mint Mocha,45000,ACTIVE,BEVERAGE,2024-06-22 22:20:44.556,C03,171906964457764
P0023,2024-06-22 22:21:38.066,Fresh mocha shaken with mint flavor and white chocolate sauce; topped with a splash of oatmilk.,Mocha Shaker,40000,ACTIVE,BEVERAGE,2024-06-22 22:21:38.066,C03,171906969808833
P0024,2024-06-22 22:22:21.240,"Nitro cold press combined with milk, chocolate & flavors of chipotle and ancho chiles. Topped with espresso whipped cream.",Spicy Mocha,40000,ACTIVE,BEVERAGE,2024-06-22 22:22:21.240,C03,171906974126872
P0025,2024-06-22 22:23:15.510,"White chocolate chips melted into steamed milk, combined with espresso & real pumpkin. Topped with whipped cream & chocolate chips.",Pumpkin White Mocha,35000,ACTIVE,BEVERAGE,2024-06-22 22:23:15.510,C03,171906979553121
P0026,2024-06-22 22:24:17.160,"Real chocolate melted into steamed milk, combined with espresso & caramel. Topped with whipped cream, caramel, and turtle pieces.",Turtle Mocha,40000,ACTIVE,BEVERAGE,2024-06-22 22:24:17.160,C03,171906985718184
P0027,2024-06-22 22:25:29.782,"Real chocolate melted into steamed milk, combined with espresso & toasted marshmallow flavor. Topped with whipped cream & more.",Campfire Mocha,55000,ACTIVE,BEVERAGE,2024-06-22 22:25:29.782,C03,171906992981037
P0028,2024-06-22 22:26:56.717,"Black tea and peach puree BOUsted with caffeine from coffee plus guarana and ginseng. Not recommended if sensitive to caffeine, under 18, or pregnant or nursing.",Peach Black Tea,40000,ACTIVE,BEVERAGE,2024-06-22 22:26:56.717,C06,171907001673856
P0029,2024-06-22 22:27:38.249,"Green tea and lemonade BOUsted with caffeine from coffee plus guarana and ginseng. Not recommended if sensitive to caffeine, under 18, or pregnant or nursing.",Green Tea Lemonade,40000,ACTIVE,BEVERAGE,2024-06-22 22:27:38.249,C06,171907005826965
P0030,2024-06-22 22:28:23.068,"Matcha tea powder blended with ice, vanilla, half & half and our signature shake mix; served over coconut coffee jellies.",Frozen Matcha Tea,45000,ACTIVE,BEVERAGE,2024-06-22 22:28:23.068,C06,171907010308688
P0032,2024-06-22 22:30:17.785,"A delicious, raised donut as Unicorm",Unicorn Of Love,20000,ACTIVE,CAKE,2024-06-22 22:30:17.785,C07,171907021781411
P0033,2024-06-22 22:30:40.723,"A delicious, raised donut topped with blue butter",Blue Donut,25000,ACTIVE,CAKE,2024-06-22 22:30:40.723,C07,171907024075257
P0034,2024-06-22 22:31:16.258,"A delicious, raised donut topped with classic glaze",Glaze Donut,35000,ACTIVE,CAKE,2024-06-22 22:31:16.258,C07,171907027628555
